p1,p2,g,alg,alarm,t,l,false_alarm,delay
0.01,0.02,1,constant,logistic_topr,9,5,0,8
0.01,0.02,1,constant,logistic_topr,12,1,0,11
0.01,0.02,1,constant,logistic_topr,12,1,0,11
0.01,0.02,1,constant,logistic_topr,9,5,0,8
0.01,0.02,1,constant,logistic_topr,29,1,0,28
0.01,0.02,1,constant,logistic_topr,46,1,0,45
0.01,0.02,1,constant,logistic_topr,9,5,0,8
0.01,0.02,1,constant,logistic_topr,41,1,0,40
0.01,0.02,1,constant,logistic_topr,48,1,0,47
0.01,0.02,1,constant,logistic_topr,5,3,0,4
0.01,0.02,1,constant,logistic_topr,44,1,0,43
0.01,0.02,1,constant,logistic_topr,9,5,0,8
0.01,0.02,1,constant,logistic_topr,16,1,0,15
0.01,0.02,1,constant,logistic_topr,50,1,0,49
0.01,0.02,1,constant,logistic_topr,19,1,0,18
0.01,0.02,1,constant,logistic_topr,12,1,0,11
0.01,0.02,1,constant,logistic_topr,13,1,0,12
0.01,0.02,1,constant,logistic_topr,21,1,0,20
0.01,0.02,1,constant,logistic_topr,36,1,0,35
0.01,0.02,1,constant,logistic_topr,53,1,0,52
0.01,0.02,1,constant,logistic_topr,12,1,0,11
0.01,0.02,1,constant,logistic_topr,5,3,0,4
0.01,0.02,1,constant,logistic_topr,27,1,0,26
0.01,0.02,1,constant,logistic_topr,28,1,0,27
0.01,0.02,1,constant,logistic_topr,12,1,0,11
0.01,0.02,1,constant,logistic_topr,20,1,0,19
0.01,0.02,1,constant,logistic_topr,21,1,0,20
0.01,0.02,1,constant,logistic_topr,5,3,0,4
0.01,0.02,1,constant,logistic_topr,66,1,0,65
0.01,0.02,1,constant,logistic_topr,53,1,0,52
0.01,0.02,1,constant,logistic_topr,38,1,0,37
0.01,0.02,1,constant,logistic_topr,34,1,0,33
0.01,0.02,1,constant,logistic_topr,49,1,0,48
0.01,0.02,1,constant,logistic_topr,18,1,0,17
0.01,0.02,1,constant,logistic_topr,11,1,0,10
0.01,0.02,1,constant,logistic_topr,16,1,0,15
0.01,0.02,1,constant,logistic_topr,7,4,0,6
0.01,0.02,1,constant,logistic_topr,34,1,0,33
0.01,0.02,1,constant,logistic_topr,34,1,0,33
0.01,0.02,1,constant,logistic_topr,32,1,0,31
0.01,0.02,1,constant,logistic_topr,30,1,0,29
0.01,0.02,1,constant,logistic_topr,7,4,0,6
0.01,0.02,1,constant,logistic_topr,33,1,0,32
0.01,0.02,1,constant,logistic_topr,20,1,0,19
0.01,0.02,1,constant,logistic_topr,7,4,0,6
0.01,0.02,1,constant,logistic_topr,13,1,0,12
0.01,0.02,1,constant,logistic_topr,3,2,0,2
0.01,0.02,1,constant,logistic_topr,7,4,0,6
0.01,0.02,1,constant,logistic_topr,30,1,0,29
0.01,0.02,1,constant,logistic_topr,45,1,0,44
0.01,0.02,1,constant,logistic_topr,15,1,0,14
0.01,0.02,1,constant,logistic_topr,11,1,0,10
0.01,0.02,1,constant,logistic_topr,44,1,0,43
