p1,p2,g,alg,alarm,t,l,false_alarm,delay
0.02,0.01,50,evsi_clairvoyant,logistic_topr,40,5,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,13,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,36,5,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,33,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,28,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,61,2,0,11
0.02,0.01,50,evsi_clairvoyant,logistic_topr,38,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,47,5,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,43,5,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,50,3,0,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,42,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,22,4,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,72,1,0,22
0.02,0.01,50,evsi_clairvoyant,logistic_topr,24,5,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,61,3,0,11
0.02,0.01,50,evsi_clairvoyant,logistic_topr,75,4,0,25
0.02,0.01,50,evsi_clairvoyant,logistic_topr,64,2,0,14
0.02,0.01,50,evsi_clairvoyant,logistic_topr,18,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,20,5,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,28,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,22,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,69,1,0,19
0.02,0.01,50,evsi_clairvoyant,logistic_topr,28,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,32,5,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,86,1,0,36
0.02,0.01,50,evsi_clairvoyant,logistic_topr,80,1,0,30
0.02,0.01,50,evsi_clairvoyant,logistic_topr,25,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,32,4,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,21,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,20,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,28,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,50,5,0,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,78,1,0,28
0.02,0.01,50,evsi_clairvoyant,logistic_topr,23,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,51,1,0,1
0.02,0.01,50,evsi_clairvoyant,logistic_topr,77,2,0,27
0.02,0.01,50,evsi_clairvoyant,logistic_topr,99,1,0,49
0.02,0.01,50,evsi_clairvoyant,logistic_topr,34,5,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,41,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,25,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,29,5,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,27,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,34,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,40,4,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,25,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,71,4,0,21
0.02,0.01,50,evsi_clairvoyant,logistic_topr,24,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,67,1,0,17
0.02,0.01,50,evsi_clairvoyant,logistic_topr,26,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,91,1,0,41
0.02,0.01,50,evsi_clairvoyant,logistic_topr,85,1,0,35
0.02,0.01,50,evsi_clairvoyant,logistic_topr,70,1,0,20
0.02,0.01,50,evsi_clairvoyant,logistic_topr,16,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,26,4,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,71,1,0,21
0.02,0.01,50,evsi_clairvoyant,logistic_topr,26,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,76,4,0,26
0.02,0.01,50,evsi_clairvoyant,logistic_topr,65,5,0,15
0.02,0.01,50,evsi_clairvoyant,logistic_topr,42,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,27,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,79,1,0,29
0.02,0.01,50,evsi_clairvoyant,logistic_topr,56,5,0,6
0.02,0.01,50,evsi_clairvoyant,logistic_topr,21,5,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,81,1,0,31
0.02,0.01,50,evsi_clairvoyant,logistic_topr,71,1,0,21
0.02,0.01,50,evsi_clairvoyant,logistic_topr,15,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,92,1,0,42
0.02,0.01,50,evsi_clairvoyant,logistic_topr,44,4,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,70,4,0,20
0.02,0.01,50,evsi_clairvoyant,logistic_topr,67,3,0,17
0.02,0.01,50,evsi_clairvoyant,logistic_topr,77,1,0,27
0.02,0.01,50,evsi_clairvoyant,logistic_topr,96,1,0,46
0.02,0.01,50,evsi_clairvoyant,logistic_topr,41,5,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,52,3,0,2
0.02,0.01,50,evsi_clairvoyant,logistic_topr,54,5,0,4
0.02,0.01,50,evsi_clairvoyant,logistic_topr,24,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,22,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,23,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,40,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,34,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,36,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,59,1,0,9
0.02,0.01,50,evsi_clairvoyant,logistic_topr,78,1,0,28
0.02,0.01,50,evsi_clairvoyant,logistic_topr,52,4,0,2
0.02,0.01,50,evsi_clairvoyant,logistic_topr,29,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,63,3,0,13
0.02,0.01,50,evsi_clairvoyant,logistic_topr,24,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,87,1,0,37
0.02,0.01,50,evsi_clairvoyant,logistic_topr,61,3,0,11
0.02,0.01,50,evsi_clairvoyant,logistic_topr,35,5,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,48,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,29,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,54,4,0,4
0.02,0.01,50,evsi_clairvoyant,logistic_topr,87,1,0,37
0.02,0.01,50,evsi_clairvoyant,logistic_topr,60,5,0,10
0.02,0.01,50,evsi_clairvoyant,logistic_topr,41,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,12,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,40,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,73,2,0,23
0.02,0.01,50,evsi_clairvoyant,logistic_topr,65,1,0,15
0.02,0.01,50,evsi_clairvoyant,logistic_topr,31,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,52,2,0,2
0.02,0.01,50,evsi_clairvoyant,logistic_topr,52,1,0,2
0.02,0.01,50,evsi_clairvoyant,logistic_topr,36,5,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,14,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,43,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,51,5,0,1
0.02,0.01,50,evsi_clairvoyant,logistic_topr,74,1,0,24
0.02,0.01,50,evsi_clairvoyant,logistic_topr,31,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,34,5,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,34,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,18,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,28,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,40,5,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,66,1,0,16
0.02,0.01,50,evsi_clairvoyant,logistic_topr,68,1,0,18
0.02,0.01,50,evsi_clairvoyant,logistic_topr,54,3,0,4
0.02,0.01,50,evsi_clairvoyant,logistic_topr,40,5,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,33,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,80,1,0,30
0.02,0.01,50,evsi_clairvoyant,logistic_topr,59,3,0,9
0.02,0.01,50,evsi_clairvoyant,logistic_topr,50,3,0,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,44,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,80,1,0,30
