p1,p2,g,alg,alarm,t,l,false_alarm,delay
0.01,0.02,1,random,logistic_topr,59,1,0,58
0.01,0.02,1,random,logistic_topr,22,2,0,21
0.01,0.02,1,random,logistic_topr,20,1,0,19
0.01,0.02,1,random,logistic_topr,35,4,0,34
0.01,0.02,1,random,logistic_topr,28,1,0,27
0.01,0.02,1,random,logistic_topr,52,1,0,51
0.01,0.02,1,random,logistic_topr,9,5,0,8
0.01,0.02,1,random,logistic_topr,44,2,0,43
0.01,0.02,1,random,logistic_topr,76,1,0,75
0.01,0.02,1,random,logistic_topr,42,1,0,41
0.01,0.02,1,random,logistic_topr,46,1,0,45
0.01,0.02,1,random,logistic_topr,36,1,0,35
0.01,0.02,1,random,logistic_topr,19,2,0,18
0.01,0.02,1,random,logistic_topr,56,5,0,55
0.01,0.02,1,random,logistic_topr,78,5,0,77
0.01,0.02,1,random,logistic_topr,58,1,0,57
0.01,0.02,1,random,logistic_topr,27,1,0,26
0.01,0.02,1,random,logistic_topr,61,1,0,60
0.01,0.02,1,random,logistic_topr,46,5,0,45
0.01,0.02,1,random,logistic_topr,31,5,0,30
0.01,0.02,1,random,logistic_topr,18,3,0,17
0.01,0.02,1,random,logistic_topr,16,3,0,15
0.01,0.02,1,random,logistic_topr,44,5,0,43
0.01,0.02,1,random,logistic_topr,58,1,0,57
0.01,0.02,1,random,logistic_topr,19,3,0,18
0.01,0.02,1,random,logistic_topr,37,3,0,36
0.01,0.02,1,random,logistic_topr,27,5,0,26
0.01,0.02,1,random,logistic_topr,53,1,0,52
0.01,0.02,1,random,logistic_topr,83,1,0,82
0.01,0.02,1,random,logistic_topr,68,1,0,67
0.01,0.02,1,random,logistic_topr,36,1,0,35
0.01,0.02,1,random,logistic_topr,49,4,0,48
0.01,0.02,1,random,logistic_topr,59,1,0,58
0.01,0.02,1,random,logistic_topr,18,1,0,17
0.01,0.02,1,random,logistic_topr,48,1,0,47
0.01,0.02,1,random,logistic_topr,64,1,0,63
0.01,0.02,1,random,logistic_topr,29,1,0,28
0.01,0.02,1,random,logistic_topr,59,1,0,58
0.01,0.02,1,random,logistic_topr,78,4,0,77
0.01,0.02,1,random,logistic_topr,30,1,0,29
0.01,0.02,1,random,logistic_topr,30,2,0,29
0.01,0.02,1,random,logistic_topr,21,1,0,20
0.01,0.02,1,random,logistic_topr,26,1,0,25
0.01,0.02,1,random,logistic_topr,24,5,0,23
0.01,0.02,1,random,logistic_topr,7,4,0,6
0.01,0.02,1,random,logistic_topr,21,1,0,20
0.01,0.02,1,random,logistic_topr,19,2,0,18
0.01,0.02,1,random,logistic_topr,71,1,0,70
0.01,0.02,1,random,logistic_topr,42,1,0,41
0.01,0.02,1,random,logistic_topr,31,1,0,30
0.01,0.02,1,random,logistic_topr,15,1,0,14
0.01,0.02,1,random,logistic_topr,58,1,0,57
0.01,0.02,1,random,logistic_topr,40,3,0,39
0.01,0.02,1,random,logistic_topr,32,3,0,31
0.01,0.02,1,random,logistic_topr,35,3,0,34
0.01,0.02,1,random,logistic_topr,26,1,0,25
0.01,0.02,1,random,logistic_topr,9,5,0,8
0.01,0.02,1,random,logistic_topr,39,1,0,38
0.01,0.02,1,random,logistic_topr,38,3,0,37
0.01,0.02,1,random,logistic_topr,27,3,0,26
0.01,0.02,1,random,logistic_topr,36,1,0,35
0.01,0.02,1,random,logistic_topr,65,1,0,64
0.01,0.02,1,random,logistic_topr,22,1,0,21
0.01,0.02,1,random,logistic_topr,63,1,0,62
0.01,0.02,1,random,logistic_topr,43,1,0,42
0.01,0.02,1,random,logistic_topr,41,1,0,40
0.01,0.02,1,random,logistic_topr,55,1,0,54
0.01,0.02,1,random,logistic_topr,82,1,0,81
0.01,0.02,1,random,logistic_topr,30,4,0,29
0.01,0.02,1,random,logistic_topr,43,3,0,42
0.01,0.02,1,random,logistic_topr,33,1,0,32
0.01,0.02,1,random,logistic_topr,67,1,0,66
0.01,0.02,1,random,logistic_topr,39,2,0,38
0.01,0.02,1,random,logistic_topr,20,1,0,19
0.01,0.02,1,random,logistic_topr,47,1,0,46
0.01,0.02,1,random,logistic_topr,45,1,0,44
0.01,0.02,1,random,logistic_topr,22,3,0,21
0.01,0.02,1,random,logistic_topr,74,1,0,73
0.01,0.02,1,random,logistic_topr,26,2,0,25
0.01,0.02,1,random,logistic_topr,32,1,0,31
0.01,0.02,1,random,logistic_topr,41,1,0,40
0.01,0.02,1,random,logistic_topr,18,3,0,17
0.01,0.02,1,random,logistic_topr,35,3,0,34
0.01,0.02,1,random,logistic_topr,52,4,0,51
0.01,0.02,1,random,logistic_topr,28,4,0,27
0.01,0.02,1,random,logistic_topr,26,1,0,25
0.01,0.02,1,random,logistic_topr,7,4,0,6
0.01,0.02,1,random,logistic_topr,87,1,0,86
