p1,p2,g,alg,alarm,t,l,false_alarm,delay
0.01,0.02,1,thompson,logistic_topr,9,5,0,8
0.01,0.02,1,thompson,logistic_topr,13,1,0,12
0.01,0.02,1,thompson,logistic_topr,36,1,0,35
0.01,0.02,1,thompson,logistic_topr,9,5,0,8
0.01,0.02,1,thompson,logistic_topr,27,1,0,26
0.01,0.02,1,thompson,logistic_topr,53,2,0,52
0.01,0.02,1,thompson,logistic_topr,9,5,0,8
0.01,0.02,1,thompson,logistic_topr,38,1,0,37
0.01,0.02,1,thompson,logistic_topr,135,1,0,134
0.01,0.02,1,thompson,logistic_topr,5,3,0,4
0.01,0.02,1,thompson,logistic_topr,30,4,0,29
0.01,0.02,1,thompson,logistic_topr,9,5,0,8
0.01,0.02,1,thompson,logistic_topr,51,1,0,50
0.01,0.02,1,thompson,logistic_topr,48,2,0,47
0.01,0.02,1,thompson,logistic_topr,42,1,0,41
0.01,0.02,1,thompson,logistic_topr,38,1,0,37
0.01,0.02,1,thompson,logistic_topr,12,1,0,11
0.01,0.02,1,thompson,logistic_topr,85,1,0,84
0.01,0.02,1,thompson,logistic_topr,14,3,0,13
0.01,0.02,1,thompson,logistic_topr,27,2,0,26
0.01,0.02,1,thompson,logistic_topr,21,1,0,20
0.01,0.02,1,thompson,logistic_topr,5,3,0,4
0.01,0.02,1,thompson,logistic_topr,25,2,0,24
0.01,0.02,1,thompson,logistic_topr,29,2,0,28
0.01,0.02,1,thompson,logistic_topr,38,1,0,37
0.01,0.02,1,thompson,logistic_topr,26,2,0,25
0.01,0.02,1,thompson,logistic_topr,24,4,0,23
0.01,0.02,1,thompson,logistic_topr,9,5,0,8
0.01,0.02,1,thompson,logistic_topr,71,1,0,70
0.01,0.02,1,thompson,logistic_topr,67,5,0,66
0.01,0.02,1,thompson,logistic_topr,34,2,0,33
0.01,0.02,1,thompson,logistic_topr,57,2,0,56
0.01,0.02,1,thompson,logistic_topr,56,1,0,55
0.01,0.02,1,thompson,logistic_topr,23,1,0,22
0.01,0.02,1,thompson,logistic_topr,11,1,0,10
0.01,0.02,1,thompson,logistic_topr,27,5,0,26
0.01,0.02,1,thompson,logistic_topr,7,4,0,6
0.01,0.02,1,thompson,logistic_topr,33,1,0,32
0.01,0.02,1,thompson,logistic_topr,85,2,0,84
0.01,0.02,1,thompson,logistic_topr,29,1,0,28
0.01,0.02,1,thompson,logistic_topr,18,2,0,17
0.01,0.02,1,thompson,logistic_topr,7,4,0,6
0.01,0.02,1,thompson,logistic_topr,32,2,0,31
0.01,0.02,1,thompson,logistic_topr,43,1,0,42
0.01,0.02,1,thompson,logistic_topr,7,4,0,6
0.01,0.02,1,thompson,logistic_topr,13,1,0,12
0.01,0.02,1,thompson,logistic_topr,3,2,0,2
0.01,0.02,1,thompson,logistic_topr,64,1,0,63
0.01,0.02,1,thompson,logistic_topr,75,2,0,74
0.01,0.02,1,thompson,logistic_topr,64,2,0,63
0.01,0.02,1,thompson,logistic_topr,50,1,0,49
0.01,0.02,1,thompson,logistic_topr,11,1,0,10
0.01,0.02,1,thompson,logistic_topr,58,1,0,57
0.01,0.02,1,thompson,logistic_topr,88,2,0,87
0.01,0.02,1,thompson,logistic_topr,60,1,0,59
0.01,0.02,1,thompson,logistic_topr,5,3,0,4
0.01,0.02,1,thompson,logistic_topr,9,5,0,8
0.01,0.02,1,thompson,logistic_topr,72,1,0,71
0.01,0.02,1,thompson,logistic_topr,44,1,0,43
0.01,0.02,1,thompson,logistic_topr,29,2,0,28
0.01,0.02,1,thompson,logistic_topr,49,1,0,48
0.01,0.02,1,thompson,logistic_topr,56,1,0,55
0.01,0.02,1,thompson,logistic_topr,16,4,0,15
0.01,0.02,1,thompson,logistic_topr,44,1,0,43
0.01,0.02,1,thompson,logistic_topr,86,2,0,85
0.01,0.02,1,thompson,logistic_topr,40,2,0,39
0.01,0.02,1,thompson,logistic_topr,26,3,0,25
0.01,0.02,1,thompson,logistic_topr,60,1,0,59
0.01,0.02,1,thompson,logistic_topr,136,1,0,135
0.01,0.02,1,thompson,logistic_topr,145,1,0,144
0.01,0.02,1,thompson,logistic_topr,34,5,0,33
0.01,0.02,1,thompson,logistic_topr,91,1,0,90
0.01,0.02,1,thompson,logistic_topr,37,2,0,36
0.01,0.02,1,thompson,logistic_topr,7,4,0,6
0.01,0.02,1,thompson,logistic_topr,48,1,0,47
0.01,0.02,1,thompson,logistic_topr,5,3,0,4
0.01,0.02,1,thompson,logistic_topr,8,4,0,7
0.01,0.02,1,thompson,logistic_topr,26,2,0,25
0.01,0.02,1,thompson,logistic_topr,45,1,0,44
0.01,0.02,1,thompson,logistic_topr,34,2,0,33
0.01,0.02,1,thompson,logistic_topr,68,2,0,67
0.01,0.02,1,thompson,logistic_topr,33,3,0,32
0.01,0.02,1,thompson,logistic_topr,14,1,0,13
